"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D_LED_1,D_LED_2,D_LED_3,D_LED_4,D_LED_5,D_LED_6,D_LED_7,D_LED_8,D_LED_9,D_LED_10,D_LED_11,D_LED_12,D_LED_13,D_LED_14,D_LED_15,D_LED_16,D_LED_17,D_LED_18,D_LED_19";"reverse_RGB_LED";19;"LED_RABG";;;
2;"R9,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"56k";;;
3;"D1,D2,D3,D4,D5,D6,D7,D8";"SOT23-3_HSOL";8;"D_x2_KCom_AAK";;;
4;"U1";"LQFP-44_10x10mm_P0.8mm";1;"ATMEGA32U4";;;
5;"J3";"B3FS-1002P";1;"B3FS-1002P";;;
6;"C1,C2,C3,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.1u";;;
7;"C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7u";;;
8;"C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1u";;;
9;"C7,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22p";;;
10;"C9,C13,C15,C17";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.1uF";;;
12;"C11,C14,C16,C18";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"0.47uF";;;
13;"C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22uF";;;
14;"J4";"USB_C_Receptacle_Amphenol_12401548E4-2A_CircularHoles";1;"USB_C_Receptacle_USB2.0";;;
15;"R1,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
16;"R2,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
17;"R5,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
18;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"20k";;;
19;"R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
20;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
21;"IC1";"QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm";1;"IS31FL3733-TQLS4";;;
27;"D9,D10,D11";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"D";;;
